"Step","Simple permutation (window: 7, stride:11) - Validation Accuracy","Simple permutation (window: 7, stride:11) - Validation Accuracy__MIN","Simple permutation (window: 7, stride:11) - Validation Accuracy__MAX"
"1","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"3","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"5","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"7","0.5028901734104047","0.5028901734104047","0.5028901734104047"
"9","0.49710982658959535","0.49710982658959535","0.49710982658959535"
"11","0.4797687861271676","0.4797687861271676","0.4797687861271676"
"13","0.4624277456647399","0.4624277456647399","0.4624277456647399"
"15","0.4277456647398844","0.4277456647398844","0.4277456647398844"
"17","0.41040462427745666","0.41040462427745666","0.41040462427745666"
"19","0.4161849710982659","0.4161849710982659","0.4161849710982659"
"21","0.41040462427745666","0.41040462427745666","0.41040462427745666"
"23","0.41040462427745666","0.41040462427745666","0.41040462427745666"
"25","0.4277456647398844","0.4277456647398844","0.4277456647398844"
"27","0.42196531791907516","0.42196531791907516","0.42196531791907516"
"29","0.42196531791907516","0.42196531791907516","0.42196531791907516"
"31","0.4277456647398844","0.4277456647398844","0.4277456647398844"
"33","0.4161849710982659","0.4161849710982659","0.4161849710982659"
"35","0.43352601156069365","0.43352601156069365","0.43352601156069365"
"37","0.42196531791907516","0.42196531791907516","0.42196531791907516"
"39","0.43352601156069365","0.43352601156069365","0.43352601156069365"
"41","0.4277456647398844","0.4277456647398844","0.4277456647398844"
"43","0.43352601156069365","0.43352601156069365","0.43352601156069365"
"45","0.43352601156069365","0.43352601156069365","0.43352601156069365"
"47","0.44508670520231214","0.44508670520231214","0.44508670520231214"
"49","0.43352601156069365","0.43352601156069365","0.43352601156069365"
"51","0.44508670520231214","0.44508670520231214","0.44508670520231214"
"53","0.4393063583815029","0.4393063583815029","0.4393063583815029"
"55","0.4393063583815029","0.4393063583815029","0.4393063583815029"
"57","0.44508670520231214","0.44508670520231214","0.44508670520231214"
"59","0.44508670520231214","0.44508670520231214","0.44508670520231214"
"61","0.4393063583815029","0.4393063583815029","0.4393063583815029"
"63","0.4508670520231214","0.4508670520231214","0.4508670520231214"
"65","0.4624277456647399","0.4624277456647399","0.4624277456647399"
"67","0.45664739884393063","0.45664739884393063","0.45664739884393063"
"69","0.4624277456647399","0.4624277456647399","0.4624277456647399"
"71","0.4624277456647399","0.4624277456647399","0.4624277456647399"
"73","0.45664739884393063","0.45664739884393063","0.45664739884393063"
"75","0.4624277456647399","0.4624277456647399","0.4624277456647399"
"77","0.4624277456647399","0.4624277456647399","0.4624277456647399"
"79","0.4682080924855491","0.4682080924855491","0.4682080924855491"
"81","0.47398843930635837","0.47398843930635837","0.47398843930635837"
"83","0.4797687861271676","0.4797687861271676","0.4797687861271676"
"85","0.47398843930635837","0.47398843930635837","0.47398843930635837"
"87","0.4797687861271676","0.4797687861271676","0.4797687861271676"
"89","0.47398843930635837","0.47398843930635837","0.47398843930635837"
"91","0.48554913294797686","0.48554913294797686","0.48554913294797686"
"93","0.48554913294797686","0.48554913294797686","0.48554913294797686"
"95","0.48554913294797686","0.48554913294797686","0.48554913294797686"
"97","0.4913294797687861","0.4913294797687861","0.4913294797687861"
"99","0.4797687861271676","0.4797687861271676","0.4797687861271676"
"101","0.4797687861271676","0.4797687861271676","0.4797687861271676"
"103","0.4797687861271676","0.4797687861271676","0.4797687861271676"
"105","0.49710982658959535","0.49710982658959535","0.49710982658959535"
"107","0.48554913294797686","0.48554913294797686","0.48554913294797686"
"109","0.49710982658959535","0.49710982658959535","0.49710982658959535"
"111","0.48554913294797686","0.48554913294797686","0.48554913294797686"
"113","0.4797687861271676","0.4797687861271676","0.4797687861271676"
"115","0.4913294797687861","0.4913294797687861","0.4913294797687861"
"117","0.5028901734104047","0.5028901734104047","0.5028901734104047"
"119","0.49710982658959535","0.49710982658959535","0.49710982658959535"
"121","0.4913294797687861","0.4913294797687861","0.4913294797687861"
"123","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"125","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"127","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"129","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"131","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"133","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"135","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"137","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"139","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"141","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"143","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"145","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"147","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"149","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"151","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"153","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"155","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"157","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"159","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"161","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"163","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"165","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"167","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"169","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"171","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"173","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"175","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"177","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"179","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"181","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"183","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"185","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"187","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"189","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"191","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"193","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"195","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"197","0.5028901734104047","0.5028901734104047","0.5028901734104047"
"199","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"201","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"203","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"205","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"207","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"209","0.5028901734104047","0.5028901734104047","0.5028901734104047"
"211","0.5028901734104047","0.5028901734104047","0.5028901734104047"
"213","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"215","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"217","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"219","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"221","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"223","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"225","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"227","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"229","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"231","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"233","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"235","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"237","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"239","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"241","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"243","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"245","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"247","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"249","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"251","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"253","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"255","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"257","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"259","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"261","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"263","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"265","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"267","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"269","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"271","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"273","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"275","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"277","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"279","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"281","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"283","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"285","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"287","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"289","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"291","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"293","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"295","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"297","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"299","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"301","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"303","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"305","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"307","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"309","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"311","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"313","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"315","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"317","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"319","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"321","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"323","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"325","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"327","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"329","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"331","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"333","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"335","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"337","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"339","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"341","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"343","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"345","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"347","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"349","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"351","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"353","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"355","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"357","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"359","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"361","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"363","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"365","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"367","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"369","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"371","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"373","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"375","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"377","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"379","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"381","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"383","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"385","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"387","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"389","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"391","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"393","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"395","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"397","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"399","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"401","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"403","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"405","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"407","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"409","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"411","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"413","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"415","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"417","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"419","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"421","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"423","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"425","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"427","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"429","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"431","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"433","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"435","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"437","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"439","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"441","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"443","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"445","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"447","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"449","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"451","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"453","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"455","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"457","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"459","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"461","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"463","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"465","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"467","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"469","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"471","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"473","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"475","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"477","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"479","0.5664739884393064","0.5664739884393064","0.5664739884393064"
"481","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"483","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"485","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"487","0.5664739884393064","0.5664739884393064","0.5664739884393064"
"489","0.5664739884393064","0.5664739884393064","0.5664739884393064"
"491","0.5664739884393064","0.5664739884393064","0.5664739884393064"
"493","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"495","0.5664739884393064","0.5664739884393064","0.5664739884393064"
"497","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"499","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"501","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"503","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"505","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"507","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"509","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"511","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"513","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"515","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"517","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"519","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"521","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"523","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"525","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"527","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"529","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"531","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"533","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"535","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"537","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"539","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"541","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"543","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"545","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"547","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"549","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"551","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"553","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"555","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"557","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"559","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"561","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"563","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"565","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"567","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"569","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"571","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"573","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"575","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"577","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"579","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"581","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"583","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"585","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"587","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"589","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"591","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"593","0.5606936416184971","0.5606936416184971","0.5606936416184971"
"595","0.5664739884393064","0.5664739884393064","0.5664739884393064"
"597","0.5549132947976878","0.5549132947976878","0.5549132947976878"
